e_low,k1_low,freeze_latent,n_e,test_f1,test_accuracy,test_loss,test_real_f1,test_real_accuracy,test_real_loss,sim_f1_fine_tuned,sim_accuracy_fine_tuned,sim_loss_fine_tuned,test_f1_fine_tuned,test_accuracy_fine_tuned,test_loss_fine_tuned,test_real_f1_fine_tuned,test_real_accuracy_fine_tuned,test_real_loss_fine_tuned,n_e_reconstruction,real_loss,test_real_loss_reconstruction,test_loss_reconstruction
30,0.01,freeze_latent,20.0,0.45122653,0.61869556,1.039772,0.5861449,0.75336325,0.69540226,0.8744464080000001,0.87510234,0.321168724,0.7006123,0.88671774,0.31856623,0.48532346,0.6473706,1.389974,24.0,0.650796874,0.46356583,0.73004794
30,0.01,no_freeze_latent,26.0,0.36692768,0.5011883,1.1590998,0.55729604,0.77945375,0.660406,0.8789153799999999,0.8793689920000001,0.319063858,0.6298436,0.8201743,0.48098576,0.3608097,0.4019568,2.179307,24.0,0.633943948,0.45120597,0.7929822
30,0.1,freeze_latent,21.0,0.50813514,0.7171904,0.7890952,0.5837314,0.77211577,0.6428124,0.8769684879999999,0.8777352440000001,0.321430698,0.64440215,0.8412992,0.42823267,0.43581867,0.5483082,1.4450629,24.0,0.640182968,0.4453576,0.6016537
30,0.1,no_freeze_latent,23.0,0.38119394,0.48640084,1.2809868,0.5994722,0.7761924,0.687168,0.8752202060000001,0.875829572,0.321340826,0.6564765,0.85106945,0.37833095,0.48110527,0.6649001,1.3574243,27.0,0.6404252420000001,0.4549125,0.87053585
30,0.3,freeze_latent,17.0,0.504568,0.70900446,0.8839829,0.5951144,0.78801465,0.62513936,0.87348269,0.874011848,0.336774378,0.6541666,0.8600475,0.3987782,0.43111682,0.58948225,1.49167,26.0,0.6473268560000001,0.44597453,0.66896534
30,0.3,no_freeze_latent,20.0,0.49432272,0.6770531,0.91716176,0.5994419,0.76233184,0.67875445,0.8774180900000002,0.8780977160000001,0.3235259339999999,0.6114319,0.81357276,0.49295515,0.46945697,0.66326946,1.3383476,21.0,0.6477792179999999,0.47481745,0.6802535
50,0.01,freeze_latent,23.0,0.32035452,0.42751518,1.3510611,0.5855914,0.7871993,0.668625,0.880814518,0.8812750719999999,0.32022912,0.6007651,0.7589121,0.52205825,0.4085975,0.5686914,1.5433313,40.0,0.626835456,0.45550323,0.90401626
50,0.01,no_freeze_latent,21.0,0.3457593,0.4900977,1.2184258,0.6118159,0.7786384,0.66308284,0.87845346,0.8789139260000001,0.32158992,0.6198851,0.8296805,0.42971164,0.38578874,0.55483085,1.6075618,42.0,0.635348484,0.45335153,0.82052267
50,0.1,freeze_latent,24.0,0.21873973,0.23633483,1.8011628,0.6080062,0.79331434,0.6421531,0.8752527259999999,0.876010266,0.323449688,0.6510887,0.84552413,0.4139168,0.43844548,0.54056257,1.6849401,38.0,0.6271807300000001,0.445558,1.1213208
50,0.1,no_freeze_latent,23.0,0.41469538,0.5513599,1.1743705,0.62446046,0.8010599,0.6519019,0.876982434,0.877462106,0.332540832,0.6723224,0.85582256,0.39653036,0.4114147,0.47248268,1.7426885,32.0,0.6371741900000001,0.448669,0.80636513
50,0.3,freeze_latent,25.0,0.5050591,0.6899921,0.8802185,0.614306,0.8039136,0.607753,0.8779704479999999,0.878189192,0.322123504,0.7062168,0.8753631,0.3468297,0.44840172,0.5902976,1.464966,23.0,0.6445261600000001,0.43681687,0.6527218
50,0.3,no_freeze_latent,26.0,0.48507094,0.6907843,0.837637,0.6014092,0.792499,0.61017764,0.870991686,0.8717442419999999,0.329379198,0.7103014,0.8745709,0.37432638,0.4589147,0.5809213,1.5297581,32.0,0.631492962,0.4312599,0.62976694
100,0.01,freeze_latent,18.0,0.51704097,0.74861366,0.7216744,0.6175115,0.80554426,0.57916486,0.8751388280000001,0.87546535,0.323159276,0.6787262,0.8745709,0.35894504,0.4686845,0.5911129,1.4844204,26.0,0.6373394080000001,0.42968565,0.58593196
100,0.01,no_freeze_latent,20.0,0.45552456,0.63638765,0.9969214,0.5641285,0.7211578,0.78545976,0.8759060059999999,0.8765551420000002,0.325863992,0.67286843,0.8626881,0.37003043,0.4967175,0.67713004,1.38345,30.0,0.6368546159999999,0.5085065,0.7065795
100,0.1,freeze_latent,25.0,0.34995288,0.4491682,1.2764952,0.58924377,0.7448023,0.70054,0.8786178679999999,0.8790046220000001,0.317986634,0.6906905,0.88090837,0.32200947,0.51887417,0.6734611,1.3527507,46.0,0.62312752,0.47396076,0.85804117
100,0.1,no_freeze_latent,28.0,0.49213594,0.68523896,0.90756893,0.5303192,0.73827964,0.7067583,0.8803021400000001,0.881093606,0.3115052699999999,0.7181062,0.89252704,0.30557984,0.46158376,0.57480633,1.5165048,32.0,0.6347587600000001,0.47152025,0.6649264
100,0.3,freeze_latent,8.0,0.46822742,0.67652494,0.8593595,0.5848846,0.77374643,0.6665449,0.8455682299999999,0.846510204,0.411924572,0.6290012,0.82994455,0.45042953,0.4618627,0.628618,1.3567752,29.0,0.641201236,0.44910365,0.6443775
100,0.3,no_freeze_latent,24.0,0.44246277,0.61843145,1.0587392,0.497653,0.70077455,0.78106165,0.8783861719999999,0.8789145740000001,0.324316618,0.6526618,0.8439398,0.38833454,0.44960687,0.58295965,1.4358422,37.0,0.62208549,0.50440496,0.7563104
