e_low,k1_low,freeze_latent,n_e,test_f1,test_accuracy,test_loss,test_real_f1,test_real_accuracy,test_real_loss,sim_f1_fine_tuned,sim_accuracy_fine_tuned,sim_loss_fine_tuned,test_f1_fine_tuned,test_accuracy_fine_tuned,test_loss_fine_tuned,test_real_f1_fine_tuned,test_real_accuracy_fine_tuned,test_real_loss_fine_tuned,n_e_reconstruction,real_loss,test_real_loss_reconstruction,test_loss_reconstruction
30,0.01,freeze_latent,24.0,0.41490814,0.5262741,1.0963978,0.584432,0.7558092,0.6707999,0.8864842879999999,0.887356694,0.296315116,0.6630107,0.85582256,0.3621592,0.44754043,0.56706077,1.6843294,27.0,0.6220040539999999,0.45994082,0.77022994
30,0.01,no_freeze_latent,26.0,0.2751692,0.3026142,1.5497147,0.5928154,0.7818997,0.63722223,0.881541988,0.882092082,0.308813396,0.68212616,0.8698178,0.3439585,0.49497893,0.6424786,1.4660633,20.0,0.617094028,0.44074982,1.0028974
30,0.1,freeze_latent,21.0,0.29930788,0.36704516,1.3273648,0.60917974,0.7945373,0.6303978,0.885910582,0.8862681,0.3064227,0.6588774,0.8542382,0.38561657,0.4533866,0.5686914,1.7369965,21.0,0.612662802,0.43095815,0.8493541
30,0.1,no_freeze_latent,23.0,0.41119903,0.5798785,1.084161,0.53838515,0.7370567,0.7273186,0.88584555,0.8868120280000001,0.304756632,0.5842794,0.79693687,0.49705428,0.4475276,0.60660416,1.6676347,19.0,0.62508926,0.4821588,0.74031734
30,0.3,freeze_latent,16.0,0.3381781,0.4409823,1.1517199,0.5764847,0.75988585,0.6816571,0.881275194,0.8818199119999999,0.309499072,0.69961727,0.8832849,0.32788867,0.3968167,0.473298,1.9528414,27.0,0.619081456,0.46418327,0.8116541
30,0.3,no_freeze_latent,24.0,0.292278,0.3137048,1.4748372,0.5753182,0.78883,0.6355818,0.8845117979999999,0.8853602219999999,0.30105262,0.68234783,0.8632163,0.3475454,0.40355754,0.47085202,2.06703,21.0,0.6229651780000001,0.43342197,0.9389011
50,0.01,freeze_latent,27.0,0.32122985,0.4689728,1.1768267,0.56270367,0.79331434,0.62872493,0.8854824920000001,0.886176766,0.30058154,0.6938786,0.8772115,0.32697305,0.417709,0.4802283,1.6585814,28.0,0.612655238,0.432906,0.7829794
50,0.01,no_freeze_latent,23.0,0.29286504,0.37602323,1.3501728,0.56409144,0.7867917,0.71320415,0.890436656,0.891169144,0.285841616,0.7552047,0.9036176,0.29418278,0.43864372,0.5295556,1.8677231,35.0,0.60666731,0.46636957,0.872615
50,0.1,freeze_latent,29.0,0.33462977,0.41959333,1.3099353,0.583045,0.7280881,0.73100555,0.8876493480000001,0.888264758,0.296376982,0.6744469,0.87826777,0.33780763,0.44977063,0.56909907,1.5543375,35.0,0.604685954,0.48156345,0.8728526
50,0.1,no_freeze_latent,24.0,0.30652755,0.3702139,1.304939,0.6010581,0.78883,0.60907066,0.8835646340000001,0.884179276,0.30463953,0.6553805,0.85106945,0.37361208,0.41406542,0.4928659,1.7970831,34.0,0.60159034,0.42077968,0.85291684
50,0.3,freeze_latent,24.0,0.38192433,0.57750195,1.1706659,0.5731584,0.79616797,0.63835734,0.8822353399999999,0.8827281880000001,0.30999698,0.6983921,0.85767096,0.39330032,0.40019798,0.48756623,1.8990879,28.0,0.600330292,0.4470018,0.8121175
50,0.3,no_freeze_latent,27.0,0.2262044,0.2624769,1.7334447,0.54907787,0.68976766,0.74841803,0.886922624,0.887628312,0.297219652,0.68932056,0.88011616,0.3299391,0.42719603,0.54749286,1.8292978,42.0,0.6005910739999999,0.4822502,1.0666918
100,0.01,freeze_latent,23.0,0.24295291,0.24320042,1.7578661,0.5248788,0.7704851,0.6432358,0.8827217980000001,0.8836344620000001,0.30191333,0.6665648,0.8500132,0.43851703,0.36803728,0.4076641,2.3018649,23.0,0.61142646,0.4301191,1.0755335
100,0.01,no_freeze_latent,17.0,0.25371027,0.25640348,1.8120494,0.5054663,0.7496942,0.67687136,0.8815095659999999,0.882455462,0.312369208,0.68285984,0.86823344,0.38891143,0.4169823,0.4949042,1.8880984,34.0,0.606317808,0.45465982,1.1376553
100,0.1,freeze_latent,24.0,0.32050663,0.43438077,1.2666003,0.56586975,0.793722,0.6075284,0.8809264640000001,0.88209286,0.311453676,0.6828031,0.86295223,0.34026715,0.39938027,0.46025276,2.0899675,18.0,0.621847812,0.41592273,0.8244483
100,0.1,no_freeze_latent,23.0,0.2224164,0.25323474,1.5943795,0.5979674,0.79046065,0.6172889,0.88702871,0.8879023140000001,0.2946835339999999,0.6947377,0.8637444,0.3577446,0.48531616,0.6412556,1.4813669,36.0,0.5971756699999999,0.42283463,1.0232902
100,0.3,freeze_latent,26.0,0.28442562,0.30287826,1.6430489,0.5987271,0.79861397,0.6074073,0.886001108,0.886902818,0.302320814,0.6602763,0.8394508,0.3878711,0.40880612,0.4936812,2.100265,38.0,0.5961301160000001,0.41242668,1.0203792
100,0.3,no_freeze_latent,24.0,0.4084332,0.5582255,1.037066,0.6311173,0.82144314,0.5805404,0.8824469779999999,0.883272552,0.316888352,0.6533371,0.8547663,0.38821918,0.4180995,0.5226253,1.7031006,28.0,0.61149803,0.4187733,0.7281674
