e_low,k1_low,freeze_latent,n_e,real_loss,test_real_loss,test_loss
30,0.01,freeze_latent,27.0,0.6220040539999999,0.45994082,0.77022994
30,0.01,no_freeze_latent,20.0,0.617094028,0.44074982,1.0028974
30,0.1,freeze_latent,21.0,0.612662802,0.43095815,0.8493541
30,0.1,no_freeze_latent,19.0,0.62508926,0.4821588,0.74031734
30,0.3,freeze_latent,27.0,0.619081456,0.46418327,0.8116541
30,0.3,no_freeze_latent,21.0,0.6229651780000001,0.43342197,0.9389011
50,0.01,freeze_latent,28.0,0.612655238,0.432906,0.7829794
50,0.01,no_freeze_latent,35.0,0.60666731,0.46636957,0.872615
50,0.1,freeze_latent,35.0,0.604685954,0.48156345,0.8728526
50,0.1,no_freeze_latent,34.0,0.60159034,0.42077968,0.85291684
50,0.3,freeze_latent,28.0,0.600330292,0.4470018,0.8121175
50,0.3,no_freeze_latent,42.0,0.6005910739999999,0.4822502,1.0666918
100,0.01,freeze_latent,23.0,0.61142646,0.4301191,1.0755335
100,0.01,no_freeze_latent,34.0,0.606317808,0.45465982,1.1376553
100,0.1,freeze_latent,18.0,0.621847812,0.41592273,0.8244483
100,0.1,no_freeze_latent,36.0,0.5971756699999999,0.42283463,1.0232902
100,0.3,freeze_latent,38.0,0.5961301160000001,0.41242668,1.0203792
100,0.3,no_freeze_latent,28.0,0.61149803,0.4187733,0.7281674
